updated_datetime;current_population
2022-05-09 12:44:32.862783;215,158,565
2022-05-10 12:48:12.261721;215,162,292
2022-05-11 12:49:51.663665;215,166,013
2022-05-12 12:49:38.946111;215,169,730
2022-05-13 12:53:46.234316;215,173,457
2022-05-14 12:46:41.380830;215,177,156
2022-05-15 12:45:43.512968;215,180,871
2022-05-16 12:48:02.090393;215,184,593
2022-05-17 12:48:53.440975;215,188,313
2022-05-18 12:49:07.519205;215,192,030
2022-05-19 12:48:49.122677;215,195,746
2022-05-20 12:46:02.488679;215,199,456
2022-05-21 12:39:53.085385;215,203,157
2022-05-22 12:39:44.965770;215,206,874
2022-05-23 12:45:48.829270;215,210,607
2022-05-24 12:48:54.675272;215,214,332
2022-05-25 12:48:15.562609;215,218,047
2022-05-26 12:46:37.635137;215,221,760
2022-05-27 12:47:37.905788;215,225,479
2022-05-28 12:39:35.408757;215,229,176
2022-05-29 12:40:27.098106;215,232,895
2022-05-30 12:46:48.795673;215,236,628
2022-05-31 12:48:43.103358;215,240,350
2022-06-01 12:53:46.614238;215,244,080
2022-06-02 12:53:00.045685;215,247,795
2022-06-03 12:41:39.961712;215,251,483
2022-06-04 12:35:30.585313;215,255,184
2022-06-05 12:37:20.878119;215,258,906
2022-06-06 12:48:31.621870;215,262,652
2022-06-07 12:46:45.805912;215,266,364
2022-06-08 12:47:58.430258;215,270,084
2022-06-09 12:49:01.212055;215,273,804
2022-06-10 12:45:51.309227;215,277,513
2022-06-11 12:37:40.770076;215,281,209
2022-06-12 12:36:30.745715;215,284,923
2022-06-13 12:46:41.251806;215,288,666
2022-06-14 12:45:54.016048;215,292,381
2022-06-15 12:46:15.569698;215,296,099
2022-06-16 12:46:20.716694;215,299,816
2022-06-17 12:46:33.065021;215,303,534
2022-06-18 12:37:17.993982;215,307,227
2022-06-19 12:38:19.445711;215,310,946
2022-06-20 12:47:17.633214;215,314,687
2022-06-21 12:55:44.991420;215,318,425
2022-06-22 12:46:41.847266;215,322,119
2022-06-23 12:47:53.528819;215,325,839
2022-06-24 12:48:49.553711;215,329,559
2022-06-25 12:37:31.759505;215,333,246
2022-06-26 12:39:13.954463;215,336,968
2022-06-27 12:48:44.283284;215,340,709
2022-06-28 12:47:13.555127;215,344,422
2022-06-29 12:49:24.046689;215,348,145
