Date;Price
27/10/1997;345.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
28/10/1997;3.609.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
29/10/1997;345.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
30/10/1997;3.339.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000
31/10/1997;3.220.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
03/11/1997;3.229.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
04/11/1997;3.149.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
05/11/1997;3.180.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
06/11/1997;320.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
07/11/1997;304.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
10/11/1997;320.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
11/11/1997;32.599.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
12/11/1997;3.279.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
13/11/1997;3.270.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
14/11/1997;3.25
17/11/1997;3.100.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
18/11/1997;3
19/11/1997;2.970.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
20/11/1997;2.770.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
21/11/1997;2.589.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000
24/11/1997;262.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
25/11/1997;25.099.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
26/11/1997;2.5
01/12/1997;2.520.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
02/12/1997;2.609.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
03/12/1997;2.529.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
04/12/1997;2.479.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
05/12/1997;24.199.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
08/12/1997;229.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
09/12/1997;2.350.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
10/12/1997;245.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
11/12/1997;229.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
12/12/1997;229.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
15/12/1997;2.25
16/12/1997;229.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
17/12/1997;237.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
18/12/1997;237.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
19/12/1997;2.390.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
22/12/1997;2.359.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
23/12/1997;22.400.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
24/12/1997;2.060.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
26/12/1997;2.180.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
29/12/1997;23.300.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
30/12/1997;2.270.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
31/12/1997;2.270.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
02/01/1998;2.160.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
05/01/1998;204.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
06/01/1998;2.160.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
07/01/1998;212.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
08/01/1998;2.109.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
09/01/1998;2.089.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000
12/01/1998;20.099.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
13/01/1998;2.029.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
14/01/1998;204.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
15/01/1998;2.069.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
16/01/1998;2.109.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
20/01/1998;212.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
21/01/1998;2.089.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000
22/01/1998;2.100.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
23/01/1998;2.140.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
26/01/1998;2.089.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000
27/01/1998;2.060.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
28/01/1998;2.089.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000
29/01/1998;2.069.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
30/01/1998;2.089.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000
02/02/1998;2.229.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
03/02/1998;2.270.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
04/02/1998;2.229.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
05/02/1998;2.310.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
06/02/1998;2.350.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
09/02/1998;2.25
10/02/1998;2.180.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
11/02/1998;220.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
12/02/1998;220.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
13/02/1998;2.220.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
17/02/1998;2.180.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
18/02/1998;2.189.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
19/02/1998;2.220.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
20/02/1998;220.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
23/02/1998;220.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
24/02/1998;2.189.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
25/02/1998;220.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
26/02/1998;2.279.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
27/02/1998;2.229.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
02/03/1998;22.599.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
03/03/1998;22.400.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
04/03/1998;2.189.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
05/03/1998;212.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
06/03/1998;2.100.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
09/03/1998;21.699.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
10/03/1998;2.25
11/03/1998;2.25
12/03/1998;2.229.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
13/03/1998;220.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
16/03/1998;220.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
17/03/1998;220.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
18/03/1998;220.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
19/03/1998;2.25
20/03/1998;2.279.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
23/03/1998;23.300.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
24/03/1998;229.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
25/03/1998;23.300.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
26/03/1998;229.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
27/03/1998;22.599.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
30/03/1998;2.319.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
31/03/1998;2.339.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000
01/04/1998;245.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
02/04/1998;2.430.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
03/04/1998;25.099.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
06/04/1998;25.099.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
07/04/1998;25.099.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
08/04/1998;2.649.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
09/04/1998;2.609.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
13/04/1998;2.520.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
14/04/1998;24.199.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
15/04/1998;2.479.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
16/04/1998;2.479.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
17/04/1998;2.399.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
20/04/1998;2.399.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
21/04/1998;245.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
22/04/1998;245.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
23/04/1998;2.350.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
24/04/1998;2.310.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
27/04/1998;229.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
28/04/1998;2.270.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
29/04/1998;229.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
30/04/1998;2.180.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
01/05/1998;2.109.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
04/05/1998;2.100.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
05/05/1998;2.189.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
06/05/1998;212.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
07/05/1998;2.160.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
08/05/1998;2.109.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
11/05/1998;2.189.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
12/05/1998;2.229.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
13/05/1998;22.400.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
14/05/1998;2.180.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
15/05/1998;2.180.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
18/05/1998;2.189.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
19/05/1998;21.699.999.999.999.900.000.000.000.000.000.000.000.000.000.000.000
20/05/1998;2.180.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
